trigger_code,trigger_name,onset_time,trial_number,condition,word,response,rt
3,COND2_LABEL,162.1402096990496,32,2,,,
5,COND2_WORD,163.65744699910283,32,2,urn,,
7,RESP_N,164.33474289998412,32,2,urn,n,0.6773375999182463
2,COND1_LABEL,167.34051849879324,33,1,,,
4,COND1_WORD,168.8572158999741,33,1,flashlight,,
7,RESP_N,169.47075329907238,33,1,flashlight,n,0.6135655995458364
2,COND1_LABEL,172.4739846996963,34,1,,,
4,COND1_WORD,173.99064369872212,34,1,bolt,,
7,RESP_N,175.5427681002766,34,1,bolt,n,1.5521502997726202
2,COND1_LABEL,178.55756109952927,35,1,,,
4,COND1_WORD,180.07429200038314,35,1,fox,,
6,RESP_Y,180.7107039000839,35,1,fox,y,0.6364409010857344
2,COND1_LABEL,183.7244009990245,36,1,,,
4,COND1_WORD,185.2411235999316,36,1,fawn,,
6,RESP_Y,185.88664009980857,36,1,fawn,y,0.6455441005527973
2,COND1_LABEL,188.8912706002593,37,1,,,
4,COND1_WORD,190.40815069898963,37,1,belt,,
7,RESP_N,191.16663189977407,37,1,belt,n,0.7584948986768723
2,COND1_LABEL,194.17489739879966,38,1,,,
4,COND1_WORD,195.69151430018246,38,1,crow,,
7,RESP_N,196.26267889887094,38,1,crow,n,0.5711809005588293
2,COND1_LABEL,199.2750183995813,39,1,,,
4,COND1_WORD,200.79181700013578,39,1,crab,,
6,RESP_Y,201.4946563001722,39,1,crab,y,0.7028686013072729
3,COND2_LABEL,204.5085045993328,40,2,,,
5,COND2_WORD,206.0259413998574,40,2,turtle,,
6,RESP_Y,206.60661179944873,40,2,turtle,y,0.5806852001696825
3,COND2_LABEL,209.6253410987556,41,2,,,
5,COND2_WORD,211.14199090003967,41,2,jaguar,,
6,RESP_Y,211.7346666995436,41,2,jaguar,y,0.5926914010196924
2,COND1_LABEL,214.74244219996035,42,1,,,
4,COND1_WORD,216.25902929902077,42,1,horse,,
7,RESP_N,216.98258169926703,42,1,horse,n,0.7235671989619732
2,COND1_LABEL,219.99254509992898,43,1,,,
4,COND1_WORD,221.5093201994896,43,1,cable,,
6,RESP_Y,222.22260629944503,43,1,cable,y,0.7133416011929512
3,COND2_LABEL,225.22606929950416,44,2,,,
5,COND2_WORD,226.74280039966106,44,2,pen,,
7,RESP_N,227.7345726992935,44,2,pen,n,0.9918018002063036
2,COND1_LABEL,230.74314669892192,45,1,,,
4,COND1_WORD,232.25962499901652,45,1,weasel,,
6,RESP_Y,233.07058489881456,45,1,weasel,y,0.810988299548626
3,COND2_LABEL,236.07649290002882,46,2,,,
5,COND2_WORD,237.59311589971185,46,2,caravan,,
6,RESP_Y,238.25460550002754,46,2,caravan,y,0.6615033000707626
3,COND2_LABEL,241.2599849998951,47,2,,,
5,COND2_WORD,242.7767708003521,47,2,marble,,
7,RESP_N,243.81456209905446,47,2,marble,n,1.0378328002989292
2,COND1_LABEL,246.82748729921877,48,1,,,
4,COND1_WORD,248.34361879900098,48,1,chipmunk,,
7,RESP_N,249.4786188993603,48,1,chipmunk,n,1.1350274998694658
2,COND1_LABEL,252.49377319961786,49,1,,,
4,COND1_WORD,254.0104564987123,49,1,alarm,,
6,RESP_Y,254.70259469933808,49,1,alarm,y,0.6921654995530844
3,COND2_LABEL,257.7107122987509,50,2,,,
5,COND2_WORD,259.2273883987218,50,2,panda,,
6,RESP_Y,259.87057000026107,50,2,panda,y,0.6432221997529268
3,COND2_LABEL,262.877488899976,51,2,,,
5,COND2_WORD,264.3941794000566,51,2,pillow,,
7,RESP_N,265.2146326005459,51,2,pillow,n,0.8204808998852968
2,COND1_LABEL,268.22796889953315,52,1,,,
4,COND1_WORD,269.7443943005055,52,1,cock,,
7,RESP_N,270.3906263001263,52,1,cock,n,0.6462492998689413
2,COND1_LABEL,273.3947652000934,53,1,,,
4,COND1_WORD,274.91132359951735,53,1,camel,,
6,RESP_Y,275.72660289891064,53,1,camel,y,0.8153077010065317
2,COND1_LABEL,278.7448461987078,54,1,,,
4,COND1_WORD,280.2615316994488,54,1,bell,,
7,RESP_N,280.91860929876566,54,1,bell,n,0.657090101391077
