ID,Word,Response,RT
william,wool,n,1.3667757000002894
william,bee,n,0.9288324999997712
william,giraffe,y,1.5169490999996924
william,dingo,n,1.2433553000000757
william,mop,y,0.9053579000001264
william,lid,n,2.2274545000000217
william,grass,n,3.161088800000016
william,caravan,y,0.6234463000000687
william,crayfish,y,0.6049125999998068
william,kernel,n,0.776853200000005
william,candle,n,0.9152051999999458
william,kitchen,y,0.6939688000002207
william,flamingo,y,0.6887793000000784
william,panda,y,0.8652907999999115
william,dome,y,1.0799600999998802
william,starfish,y,0.5291827999999441
william,galaxy,y,0.6883197000001928
william,stamp,y,1.4027735000004213
william,sandstone,y,0.6835827999998401
william,satchel,y,0.7468779000000723
william,bottle,n,0.8606745000001865
william,pufferfish,y,1.3314049000000523
william,admire,n,0.7403079000000616
william,steel,n,3.682596099999955
william,mug,y,0.7262802000000192
william,lobster,y,1.2156553999998323
william,random,n,0.7153316999997514
william,brick,n,0.9676664000003257
william,mole,y,0.571259899999859
william,fuse,n,0.7896174999996219
william,computer,n,0.8542561999997815
william,furnace,y,1.2171398000000409
william,shard,y,0.6889897000000929
william,gnu,y,0.6706487999999808
william,afford,n,0.7305275000003348
william,guitar,n,1.5726540000000568
william,crater,y,3.17205580000018
william,shelf,y,1.0935518000001139
william,fossil,y,0.7574752999998964
william,picture,n,0.9219125999998141
william,fish,y,0.5551586000001407
william,canal,y,0.8694126999998844
william,curtain,n,2.0835511999998744
william,brush,n,1.4661565999999766
william,flashlight,n,3.0482151000001068
william,agenda,n,0.814718399999947
william,lynx,y,0.6248310999999376
william,carriage,y,0.6069514999999228
william,tiger,n,1.3396966000000248
william,daisy,n,1.4293766999999207
william,fork,y,1.1933939000000464
william,turtle,y,1.2088399999997819
william,cock,y,0.6593573999998625
william,bear,n,2.9445828999996593
william,chicken,n,1.273250199999893
william,ivy,n,0.9290571999999884
william,rat,n,1.886189600000307
william,radio,n,0.7654261000002407
william,door,n,3.540580300000329
william,book,n,1.0633296000000882
william,comb,n,3.128488500000003
william,urn,y,0.8829897999999048
william,sky,n,2.226178300000356
william,zebra,y,0.8071371000000909
william,weasel,y,0.7407935999999609
william,sand,n,0.8716620999998668
william,coral,y,0.5766247000001385
william,watch,n,1.0775886000001265
william,bolt,y,0.9409931999998662
william,goat,n,1.958083699999861
william,frog,n,2.20233989999997
william,pillow,n,1.545742600000267
william,coyote,y,1.3235749000000396
william,jellyfish,y,0.8050518000000011
william,aware,y,2.822276100000181
william,plant,n,2.2884361000001263
william,cork,n,1.4474393000000418
william,wallet,n,2.472602900000311
william,captain,n,1.8259809999999561
william,moss,n,0.8595050999997511
william,language,n,2.404517699999815
william,cactus,n,4.922626400000354
william,armadillo,y,0.7054597000001195
william,lamp,n,0.9306910999998763
william,tapir,y,0.815353899999991
william,bicycle,y,1.718624699999964
william,ferret,n,2.1836929000000964
william,sponge,y,1.103491099999701
william,marlin,y,0.6789291999998568
william,fawn,y,1.092308100000082
william,trough,y,0.8496159000001171
william,box,y,0.8278656999996201
william,mountain,n,1.0613056000001961
william,dragonfly,y,3.166456400000243
william,cable,y,0.7462990999997601
william,ledge,y,0.6738734000000477
