ID,Word,Response,RT
soren,brick,y,1.487328199999979
soren,box,n,1.4562022999999726
soren,plant,n,1.0028442999999925
soren,rattlesnake,y,0.7755626000000007
soren,hook,n,1.0006568000000016
soren,alarm,y,0.6128704999999854
soren,battery,y,1.3360885999999823
soren,parrot,n,2.1979034999999953
soren,barrel,y,1.2619882999999845
soren,koala,y,0.7361796999999797
soren,bacteria,n,0.9246775999999954
soren,cave,n,1.4667986000000042
soren,bowl,y,2.2662374000000227
soren,knife,y,0.9643624000000273
soren,squid,y,0.7648522000000071
soren,newt,y,0.8205944999999701
soren,canvas,y,0.683488299999965
soren,arch,y,1.4993352000000186
soren,captain,n,1.7569522000000006
soren,dog,n,0.9446318999999903
soren,wolf,y,0.8557432000000063
soren,hyena,y,0.8504035000000272
soren,table,n,1.1984294999999747
soren,artist,y,0.9318670000000111
soren,tiger,y,1.25202969999998
soren,clover,y,2.1732223000000204
soren,mirror,n,0.8086099000000218
soren,building,n,1.019927999999993
soren,talent,n,1.4042575000000284
soren,saddle,y,1.1011550000000057
soren,raccoon,y,0.7595380999999861
soren,tool,y,1.2216473999999948
soren,lamp,y,1.117796300000009
soren,satchel,y,2.0382028999999875
soren,gravel,y,0.8149258000000259
soren,flamingo,n,1.8032620999999835
soren,attic,y,0.7136545000000183
soren,shrub,y,1.007655600000021
soren,roof,n,1.3070685999999796
soren,kitchen,y,1.479258399999992
soren,flashlight,y,1.22679949999997
soren,factory,n,1.1572235000000433
soren,belt,n,1.091253399999971
soren,nut,n,3.039556300000015
soren,orb,y,0.9392367000000377
soren,habit,n,1.1720389999999838
soren,wheel,n,0.9462993999999867
soren,granite,y,0.6797177999999917
soren,tortoise,y,1.4553851999999665
soren,notebook,n,1.2266969000000358
soren,ocean,n,2.0226332999999954
soren,tower,n,1.3431818000000249
soren,snake,n,0.018184000000019296
soren,moth,y,0.7839427999999771
soren,afford,n,2.7757993999999826
soren,fence,y,1.0151825000000372
soren,rabbit,y,1.1785788999999909
soren,crab,n,1.7190130999999838
soren,aspect,n,1.2030809999999974
soren,shard,y,0.7935173000000191
soren,snipe,y,1.299603100000013
soren,platypus,y,0.9477723999999625
soren,charcoal,n,3.211833800000022
soren,flower,y,0.9102177999999981
soren,bee,y,0.946165399999984
soren,shoe,n,1.76679340000004
soren,candle,n,1.2835014999999999
soren,elk,y,0.8806457000000023
soren,bridge,n,4.714758299999971
soren,cassette,y,0.9003789999999867
soren,camera,n,1.160297299999968
soren,scarecrow,y,1.2125728999999978
soren,maze,n,1.4401626999999735
soren,bolt,y,4.017644700000005
soren,torch,n,1.7539575000000127
soren,cable,n,1.2854130000000055
soren,algae,n,1.5026687000000152
soren,bluebell,n,4.545568399999979
soren,sandstone,n,0.9349349000000302
soren,slug,y,0.784800099999984
soren,cow,n,2.0146963000000255
soren,planet,y,2.6768050000000017
soren,clock,n,3.059317799999974
soren,mop,n,1.3783081000000266
soren,hill,n,2.954779099999996
soren,bird,y,2.3149674000000005
soren,stamp,y,3.108042599999976
soren,spoon,n,0.9042848999999933
soren,butterfly,y,2.4500620000000026
soren,award,y,2.7458886999999663
soren,chair,y,1.1965514999999982
soren,ladybug,y,1.6502169000000322
soren,road,n,1.9474008000000254
