ID,Age,Gender,Condition_ID,Condition_Prompt,Word,Response,Reaction_time
william,24,male,1,Includes 'A'?,fern,n,0.7021246012300253
william,24,male,1,Includes 'A'?,baboon,y,0.796544199809432
william,24,male,2,Living?,ledge,n,0.59132120013237
william,24,male,1,Includes 'A'?,carriage,y,0.7063388992100954
william,24,male,2,Living?,wasp,y,0.5933123007416725
william,24,male,1,Includes 'A'?,gem,n,0.6283238995820284
william,24,male,1,Includes 'A'?,brush,n,0.5263717994093895
william,24,male,2,Living?,net,n,0.9642441999167204
william,24,male,1,Includes 'A'?,cobra,y,0.6882002986967564
william,24,male,1,Includes 'A'?,dog,n,0.775644700974226
william,24,male,1,Includes 'A'?,dragonfly,y,0.77939079888165
william,24,male,1,Includes 'A'?,barrel,y,0.7347727008163929
william,24,male,1,Includes 'A'?,dove,n,0.5722694993019104
william,24,male,1,Includes 'A'?,fuse,n,0.5920831002295017
william,24,male,1,Includes 'A'?,fence,n,0.5475781988352537
william,24,male,2,Living?,manta,y,1.080477099865675
william,24,male,2,Living?,snipe,y,1.8000742997974157
william,24,male,2,Living?,pigeon,y,0.6742227990180254
william,24,male,2,Living?,maze,n,1.0181948989629745
william,24,male,1,Includes 'A'?,frog,y,0.5881516002118587
william,24,male,2,Living?,insect,y,0.6309054996818304
william,24,male,2,Living?,buck,y,0.8966553006321192
william,24,male,2,Living?,orb,n,0.6715210992842913
william,24,male,1,Includes 'A'?,cargo,y,0.7915474008768797
william,24,male,1,Includes 'A'?,basket,y,0.7624647002667189
william,24,male,1,Includes 'A'?,badge,y,0.9108595997095108
william,24,male,1,Includes 'A'?,albatross,y,0.5894559994339943
william,24,male,2,Living?,starfish,y,0.6644995007663965
william,24,male,1,Includes 'A'?,crayfish,y,0.560351800173521
william,24,male,2,Living?,monkey,y,1.0205979011952877
william,24,male,1,Includes 'A'?,box,n,0.6224801000207663
william,24,male,1,Includes 'A'?,hummingbird,n,0.8966699987649918
william,24,male,2,Living?,trough,n,0.9194837994873524
william,24,male,1,Includes 'A'?,banana,y,0.5810765996575356
william,24,male,1,Includes 'A'?,gnu,n,0.6082095000892878
william,24,male,2,Living?,lava,n,1.122672401368618
william,24,male,1,Includes 'A'?,door,n,0.656445499509573
william,24,male,1,Includes 'A'?,diamond,y,0.6489017996937037
william,24,male,1,Includes 'A'?,dingo,n,0.6092065013945103
william,24,male,1,Includes 'A'?,camera,y,0.6357527002692223
william,24,male,2,Living?,furnace,n,0.7009478993713856
william,24,male,2,Living?,flask,n,0.6114585008472204
william,24,male,2,Living?,hammer,n,0.7737357001751661
william,24,male,2,Living?,shard,n,0.6897272989153862
william,24,male,1,Includes 'A'?,cheetah,y,0.9768448993563652
william,24,male,2,Living?,lynx,y,0.6679114010185003
william,24,male,2,Living?,mop,n,0.6924185995012522
william,24,male,2,Living?,guitar,n,0.9474615007638931
william,24,male,1,Includes 'A'?,rat,y,0.5286203995347023
william,24,male,2,Living?,hawk,y,0.5663661006838083
william,24,male,1,Includes 'A'?,flamingo,y,0.578201400116086
william,24,male,2,Living?,mug,n,0.6860881987959146
william,24,male,2,Living?,galaxy,n,1.0287580005824566
william,24,male,2,Living?,knife,n,0.6548711005598307
william,24,male,1,Includes 'A'?,bicycle,n,0.5754094999283552
william,24,male,1,Includes 'A'?,catfish,y,0.5072026010602713
william,24,male,2,Living?,pufferfish,y,0.5855090990662575
william,24,male,1,Includes 'A'?,chain,y,0.4846682995557785
william,24,male,2,Living?,octopus,y,0.7398483008146286
william,24,male,2,Living?,tapir,n,0.6011988986283541
william,24,male,1,Includes 'A'?,bison,n,1.019386800006032
william,24,male,1,Includes 'A'?,fish,n,0.6371451988816261
