"trigger_code","trigger_name","onset_time","trial_number","condition","word","response","rt","remembered"
40,"COND1_WORD",158.506654299796,31,1,"ferret","",NA,0
7,"RESP_N",159.134774100035,31,1,"ferret","n",0.628158798441291,NA
3,"COND2_LABEL",162.14020969905,32,2,"","",NA,NA
51,"COND2_WORD",163.657446999103,32,2,"urn","",NA,1
7,"RESP_N",164.334742899984,32,2,"urn","n",0.677337599918246,NA
2,"COND1_LABEL",167.340518498793,33,1,"","",NA,NA
40,"COND1_WORD",168.857215899974,33,1,"flashlight","",NA,0
7,"RESP_N",169.470753299072,33,1,"flashlight","n",0.613565599545836,NA
2,"COND1_LABEL",172.473984699696,34,1,"","",NA,NA
41,"COND1_WORD",173.990643698722,34,1,"bolt","",NA,1
7,"RESP_N",175.542768100277,34,1,"bolt","n",1.55215029977262,NA
2,"COND1_LABEL",178.557561099529,35,1,"","",NA,NA
41,"COND1_WORD",180.074292000383,35,1,"fox","",NA,1
6,"RESP_Y",180.710703900084,35,1,"fox","y",0.636440901085734,NA
2,"COND1_LABEL",183.724400999025,36,1,"","",NA,NA
41,"COND1_WORD",185.241123599932,36,1,"fawn","",NA,1
6,"RESP_Y",185.886640099809,36,1,"fawn","y",0.645544100552797,NA
2,"COND1_LABEL",188.891270600259,37,1,"","",NA,NA
40,"COND1_WORD",190.40815069899,37,1,"belt","",NA,0
7,"RESP_N",191.166631899774,37,1,"belt","n",0.758494898676872,NA
2,"COND1_LABEL",194.1748973988,38,1,"","",NA,NA
41,"COND1_WORD",195.691514300182,38,1,"crow","",NA,1
7,"RESP_N",196.262678898871,38,1,"crow","n",0.571180900558829,NA
2,"COND1_LABEL",199.275018399581,39,1,"","",NA,NA
41,"COND1_WORD",200.791817000136,39,1,"crab","",NA,1
6,"RESP_Y",201.494656300172,39,1,"crab","y",0.702868601307273,NA
3,"COND2_LABEL",204.508504599333,40,2,"","",NA,NA
51,"COND2_WORD",206.025941399857,40,2,"turtle","",NA,1
6,"RESP_Y",206.606611799449,40,2,"turtle","y",0.580685200169683,NA
3,"COND2_LABEL",209.625341098756,41,2,"","",NA,NA
51,"COND2_WORD",211.14199090004,41,2,"jaguar","",NA,1
6,"RESP_Y",211.734666699544,41,2,"jaguar","y",0.592691401019692,NA
2,"COND1_LABEL",214.74244219996,42,1,"","",NA,NA
41,"COND1_WORD",216.259029299021,42,1,"horse","",NA,1
7,"RESP_N",216.982581699267,42,1,"horse","n",0.723567198961973,NA
2,"COND1_LABEL",219.992545099929,43,1,"","",NA,NA
41,"COND1_WORD",221.50932019949,43,1,"cable","",NA,1
6,"RESP_Y",222.222606299445,43,1,"cable","y",0.713341601192951,NA
3,"COND2_LABEL",225.226069299504,44,2,"","",NA,NA
50,"COND2_WORD",226.742800399661,44,2,"pen","",NA,0
7,"RESP_N",227.734572699293,44,2,"pen","n",0.991801800206304,NA
2,"COND1_LABEL",230.743146698922,45,1,"","",NA,NA
41,"COND1_WORD",232.259624999017,45,1,"weasel","",NA,1
6,"RESP_Y",233.070584898815,45,1,"weasel","y",0.810988299548626,NA
3,"COND2_LABEL",236.076492900029,46,2,"","",NA,NA
51,"COND2_WORD",237.593115899712,46,2,"caravan","",NA,1
6,"RESP_Y",238.254605500028,46,2,"caravan","y",0.661503300070763,NA
3,"COND2_LABEL",241.259984999895,47,2,"","",NA,NA
51,"COND2_WORD",242.776770800352,47,2,"marble","",NA,1
7,"RESP_N",243.814562099054,47,2,"marble","n",1.03783280029893,NA
2,"COND1_LABEL",246.827487299219,48,1,"","",NA,NA
40,"COND1_WORD",248.343618799001,48,1,"chipmunk","",NA,0
7,"RESP_N",249.47861889936,48,1,"chipmunk","n",1.13502749986947,NA
2,"COND1_LABEL",252.493773199618,49,1,"","",NA,NA
41,"COND1_WORD",254.010456498712,49,1,"alarm","",NA,1
6,"RESP_Y",254.702594699338,49,1,"alarm","y",0.692165499553084,NA
3,"COND2_LABEL",257.710712298751,50,2,"","",NA,NA
51,"COND2_WORD",259.227388398722,50,2,"panda","",NA,1
6,"RESP_Y",259.870570000261,50,2,"panda","y",0.643222199752927,NA
3,"COND2_LABEL",262.877488899976,51,2,"","",NA,NA
50,"COND2_WORD",264.394179400057,51,2,"pillow","",NA,0
7,"RESP_N",265.214632600546,51,2,"pillow","n",0.820480899885297,NA
2,"COND1_LABEL",268.227968899533,52,1,"","",NA,NA
41,"COND1_WORD",269.744394300506,52,1,"cock","",NA,1
7,"RESP_N",270.390626300126,52,1,"cock","n",0.646249299868941,NA
2,"COND1_LABEL",273.394765200093,53,1,"","",NA,NA
41,"COND1_WORD",274.911323599517,53,1,"camel","",NA,1
6,"RESP_Y",275.726602898911,53,1,"camel","y",0.815307701006532,NA
2,"COND1_LABEL",278.744846198708,54,1,"","",NA,NA
41,"COND1_WORD",280.261531699449,54,1,"bell","",NA,1
7,"RESP_N",280.918609298766,54,1,"bell","n",0.657090101391077,NA
2,"COND1_LABEL",283.928105499595,55,1,"","",NA,NA
40,"COND1_WORD",285.44499460049,55,1,"plant","",NA,0
6,"RESP_Y",286.158615300432,55,1,"plant","y",0.713659999892116,NA
3,"COND2_LABEL",289.161944799125,56,2,"","",NA,NA
51,"COND2_WORD",290.678881499916,56,2,"otter","",NA,1
6,"RESP_Y",291.510471198708,56,2,"otter","y",0.831593399867415,NA
2,"COND1_LABEL",294.52881509997,57,1,"","",NA,NA
41,"COND1_WORD",296.045469598845,57,1,"armadillo","",NA,1
6,"RESP_Y",296.710557298735,57,1,"armadillo","y",0.665128000080585,NA
3,"COND2_LABEL",299.729043699801,58,2,"","",NA,NA
50,"COND2_WORD",301.245903600007,58,2,"salmon","",NA,0
6,"RESP_Y",302.02257050015,58,2,"salmon","y",0.776680901646614,NA
2,"COND1_LABEL",305.029476899654,59,1,"","",NA,NA
41,"COND1_WORD",306.545977899805,59,1,"jellyfish","",NA,1
7,"RESP_N",307.654494399205,59,1,"jellyfish","n",1.10855850018561,NA
3,"COND2_LABEL",310.662799600512,60,2,"","",NA,NA
51,"COND2_WORD",312.179526200518,60,2,"magpie","",NA,1
6,"RESP_Y",313.09451809898,60,2,"magpie","y",0.91500279866159,NA
2,"COND1_LABEL",316.112969700247,61,1,"","",NA,NA
41,"COND1_WORD",317.629965599626,61,1,"fossil","",NA,1
7,"RESP_N",318.702591499314,61,1,"fossil","n",1.07263850048184,NA
2,"COND1_LABEL",321.71314659901,62,1,"","",NA,NA
41,"COND1_WORD",323.229988899082,62,1,"heron","",NA,1
