"trigger_code","trigger_name","onset_time","trial_number","condition","word","response","rt","remembered"
2,"COND1_LABEL",0.0171225000231061,1,1,"","",NA,NA
41,"COND1_WORD",1.53329790002317,1,1,"crayfish","",NA,1
6,"RESP_Y",2.41451840000809,1,1,"crayfish","y",0.881234800006496,NA
50,"COND2_WORD",6.94997220000369,2,2,"deer","",NA,0
6,"RESP_Y",8.19144470000174,2,2,"deer","y",1.24149879999459,NA
2,"COND1_LABEL",11.2001193000178,3,1,"","",NA,NA
41,"COND1_WORD",12.7173889999976,3,1,"armadillo","",NA,1
6,"RESP_Y",13.584474400006,3,1,"armadillo","y",0.86712599999737,NA
2,"COND1_LABEL",16.6007457000087,4,1,"","",NA,NA
40,"COND1_WORD",18.1174863000051,4,1,"button","",NA,0
7,"RESP_N",18.8475739000132,4,1,"button","n",0.730103000008967,NA
2,"COND1_LABEL",21.8508905000053,5,1,"","",NA,NA
41,"COND1_WORD",23.367517000006,5,1,"flashlight","",NA,1
7,"RESP_N",24.4625620000006,5,1,"flashlight","n",1.0950707999873,NA
2,"COND1_LABEL",27.4677326000237,6,1,"","",NA,NA
40,"COND1_WORD",28.9846564000181,6,1,"flint","",NA,0
7,"RESP_N",30.1455869000056,6,1,"flint","n",1.16094450000674,NA
3,"COND2_LABEL",33.1510072000092,7,2,"","",NA,NA
51,"COND2_WORD",34.6678784000105,7,2,"squid","",NA,1
6,"RESP_Y",35.5274706000055,7,2,"squid","y",0.859618700022111,NA
2,"COND1_LABEL",38.5345043000125,8,1,"","",NA,NA
41,"COND1_WORD",40.0511121000163,8,1,"chair","",NA,1
6,"RESP_Y",41.0805462000135,8,1,"chair","y",1.02945080000791,NA
2,"COND1_LABEL",44.0846847000066,9,1,"","",NA,NA
40,"COND1_WORD",45.6012797000003,9,1,"plant","",NA,0
6,"RESP_Y",46.2614389000228,9,1,"plant","y",0.660185499989893,NA
3,"COND2_LABEL",49.2680369000009,10,2,"","",NA,NA
